Old Ward Code,New ward code,Ward,% Households without central heating - 2001,Cavity walls that are uninsulated (2010),Lofts with less than 150mm insulation (2010),Indices of Deprivation 2010 Health Deprivation and Disability domain,SMR - 2010,Incapacity Benefit rate - 2010,% aged 60 or over - 2010,Pension Credit rate - 2010,JSA claimant rate - 2010,Income Support rate - 2010,% of children in poverty - 2009,% of households fuel poor (2009)
00AJGE,E05000172,Dormers Wells,6.5,75.4,71.7,0.25,96.8,7.2,15.0,38.9,5.3,6.7,36.1,13.8
00AJGF,E05000173,Ealing Broadway,6.3,78.9,76.4,-0.07,77.5,3.7,16.3,18.6,2.3,2.9,14.3,8.0
00AJGG,E05000174,Ealing Common,7.0,73.9,75.2,-0.02,88.7,4.7,17.1,23.5,3.6,4.0,22.5,9.3
00AJGH,E05000175,East Acton,8.1,69.5,76.4,-0.02,78.1,6.2,13.3,26.3,4.2,7.1,40.0,13.3
00AJGJ,E05000176,Elthorne,7.0,73.5,76.2,0.40,92.1,6.8,15.8,27.6,4.2,6.2,26.4,11.4
00AJGK,E05000177,Greenford Broadway,8.3,64.6,72.2,0.11,136.3,7.0,16.9,31.7,5.3,8.1,37.0,13.5
00AJGL,E05000178,Greenford Green,7.0,75.7,71.1,-0.26,76.6,4.9,19.7,19.8,3.6,3.8,21.1,12.9
00AJGM,E05000179,Hanger Hill,6.3,69.3,75.0,-0.71,64.6,2.9,19.5,13.5,2.3,2.7,17.6,8.8
00AJGN,E05000180,Hobbayne,5.4,50.2,73.5,0.05,85.5,6.1,17.3,27.6,4.2,6.2,26.4,12.5
00AJGP,E05000181,Lady Margaret,7.8,82.6,73.2,-0.05,103.7,6.3,14.8,31.5,4.5,3.9,25.8,12.0
00AJGQ,E05000182,Northfield,7.5,75.2,75.8,-0.46,84.0,2.8,16.9,16.8,1.8,2.2,10.7,8.3
00AJGR,E05000183,North Greenford,5.6,69.6,73.6,-0.66,63.9,4.7,19.3,19.1,3.3,4.2,21.4,13.5
00AJGS,E05000184,Northolt Mandeville,13.9,60.9,71.6,-0.04,79.5,7.2,17.2,28.5,5.0,8.2,35.9,14.0
00AJGT,E05000185,Northolt West End,14.2,55.1,69.4,0.08,89.6,9.0,19.1,30.9,6.3,11.0,38.2,13.8
00AJGU,E05000186,Norwood Green,5.8,67.2,74.6,0.60,104.4,11.7,15.3,38.6,5.9,9.1,38.4,12.6
00AJGW,E05000187,Perivale,5.9,57.9,73.0,-0.45,65.6,4.8,17.6,21.2,3.3,3.8,19.8,13.5
00AJGX,E05000188,South Acton,8.5,77.7,78.0,0.22,131.3,7.4,14.6,45.0,4.7,7.5,37.5,12.4
00AJGY,E05000189,Southall Broadway,4.8,80.0,71.9,0.30,103.5,7.9,14.2,42.9,5.3,5.4,29.0,12.8
00AJGZ,E05000190,Southall Green,7.4,80.6,72.4,0.17,85.0,7.9,12.5,41.3,6.5,5.7,38.4,13.3
00AJHA,E05000191,Southfield,9.3,72.3,76.5,-0.56,83.3,3.7,14.9,23.1,2.8,3.1,15.8,8.6
00AJHB,E05000192,Walpole,6.4,80.5,74.9,0.01,76.4,3.5,16.5,21.8,2.5,2.9,12.4,8.4
00AKGL,E05000193,Bowes,7.0,73.4,73.1,-0.16,96.2,6.3,16.9,32.5,4.7,5.8,29.7,14.2
00AKGM,E05000194,Bush Hill Park,5.2,77.8,74.5,-0.79,87.4,4.2,21.1,17.5,2.9,3.3,17.1,13.7
00AKGN,E05000195,Chase,8.8,68.1,74.7,-0.19,124.5,6.6,18.5,24.7,4.5,7.5,32.4,14.0
00AKGP,E05000196,Cockfosters,4.4,74.5,73.1,-0.62,64.9,4.5,25.1,17.3,2.7,3.4,19.8,13.5
00AKGQ,E05000197,Edmonton Green,8.3,72.8,70.3,0.31,89.3,10.9,12.5,50.0,7.9,14.3,49.4,15.8
00AKGR,E05000198,Enfield Highway,7.8,77.2,74.9,-0.18,90.8,7.7,16.9,29.5,5.7,10.2,44.0,15.4
00AKGS,E05000199,Enfield Lock,7.2,65.4,71.1,-0.17,148.4,7.3,10.8,38.5,6.5,10.4,45.4,14.0
00AKGT,E05000200,Grange,4.5,72.4,74.0,-0.98,67.9,3.0,23.8,11.1,2.6,2.4,11.7,12.6
00AKGU,E05000201,Haselbury,10.3,81.7,71.8,-0.22,76.9,8.5,16.6,29.3,5.8,10.0,43.4,17.2
00AKGW,E05000202,Highlands,4.1,65.1,71.3,-0.59,57.9,5.0,25.7,12.7,2.6,4.0,17.0,12.1
00AKGX,E05000203,Jubilee,11.1,70.3,73.8,-0.21,91.3,8.3,19.5,27.8,6.0,8.0,39.8,15.3
00AKGY,E05000204,Lower Edmonton,9.4,80.1,74.9,0.02,131.1,8.6,13.2,43.5,6.9,11.1,45.2,16.6
00AKGZ,E05000205,Palmers Green,6.9,77.1,74.1,-0.41,98.2,5.3,17.3,33.1,4.1,4.6,26.3,14.6
00AKHA,E05000206,Ponders End,9.5,69.7,71.1,0.12,120.5,7.5,12.5,40.0,6.7,9.5,46.7,17.0
00AKHB,E05000207,Southbury,8.3,75.8,75.8,0.04,81.3,6.7,13.9,33.6,5.0,8.3,37.5,14.6
00AKHC,E05000208,Southgate,5.0,70.5,73.7,-0.60,70.5,4.4,21.6,15.4,3.5,4.3,22.5,11.2
00AKHD,E05000209,Southgate Green,6.3,78.3,74.9,-0.51,83.3,5.0,20.4,19.6,4.2,4.3,19.9,14.2
00AKHE,E05000210,Town,6.9,79.7,75.8,-0.66,82.6,3.8,20.1,17.2,2.9,3.5,16.2,13.6
00AKHF,E05000211,Turkey Street,7.9,67.8,73.8,0.09,95.2,8.5,17.3,30.5,5.9,10.6,44.9,14.8
00AKHG,E05000212,Upper Edmonton,10.8,79.8,73.2,0.13,155.4,8.4,13.8,38.2,6.3,10.5,44.2,17.2
00AKHH,E05000213,Winchmore Hill,6.5,78.3,75.4,-0.44,109.0,4.1,19.5,21.4,2.8,3.4,12.5,12.7
